invited,userCF_reco,evtCF_reco,svdCF_reco,user_reco,evt_p_reco,evt_c_reco,user_pop,frnd_infl,evt_pop,interested,not_interested
0,-7.452675381087749e-05,0.2682815950123393,0.9086090501029508,0.0,0.0,0.0,0.00021761403363959204,0.0,0.000547522918895292,0,0
0,-7.452675381087749e-05,0.2682815950123393,1,0.0,0.0,0.0,0.00021761403363959204,0.0,4.60103293189321e-05,0,0
0,1.003210568236808,0.2682815950123393,1,0.0,-1.0,-1.0,0.00021761403363959204,0.0,-5.981342811461173e-05,1,0
0,-7.452675381087749e-05,0.2682815950123393,1,0.0,0.0,0.0,0.00021761403363959204,0.0,9.202065863786421e-06,0,0
0,0.10878859372370601,0.2682815950123393,1,0.0,0.0,0.0,0.00021761403363959204,0.0,8.972014217191759e-05,0,0
0,0.1329643337791752,0.2682815950123393,1,0.0,0.0,0.0,0.00021761403363959204,0.0,2.300516465946605e-05,0,0
0,-0.00022358024308884324,0.2682815950123393,1,0.0,0.0,0.0,2.1707803848284426e-05,0.0,4.140929638703889e-05,0,0
0,0.6547173039519067,0.2682815950123393,1,0.0,-1.0,-1.0,2.1707803848284426e-05,0.0,0.0,1,0
0,0.4028828431912527,0.2682815950123393,1,0.0,-1.0,-1.0,2.1707803848284426e-05,0.0,6.901549397839815e-05,1,0
0,-0.00023641455669317236,0.2682815950123393,1,0.0,0.0,0.0,2.1707803848284426e-05,0.0,-2.990671405730587e-05,0,0
0,0.05716719209093455,0.2682815950123393,1,0.0,-1.0,-1.0,2.1707803848284426e-05,0.0,1.150258232973302e-05,1,0
0,-0.00022358024308884324,0.2682815950123393,1,0.0,0.0,0.0,2.1707803848284426e-05,0.0,0.0,0,0
0,0.040275467538997974,0.2682815950123393,1,0.0,0.0,0.0,2.1707803848284426e-05,0.0,2.530568112541266e-05,0,0
0,-7.45271243943014e-05,0.2682815950123393,1,0.0,-1.0,-1.0,2.06358135347889e-05,0.0,2.300516465946605e-06,1,0
0,-7.45271243943014e-05,0.2682815950123393,1,0.0,0.0,0.0,2.06358135347889e-05,0.0,-4.60103293189321e-06,0,0
0,-7.45271243943014e-05,0.2682815950123393,1,0.0,0.0,0.0,2.06358135347889e-05,0.0,5.291187871677191e-05,0,0
0,-7.45271243943014e-05,0.2682815950123393,1,0.0,0.0,0.0,2.06358135347889e-05,0.0,6.441446104650494e-05,0,0
0,-7.45271243943014e-05,0.2682815950123393,1,0.0,0.0,0.0,2.06358135347889e-05,0.0,0.0,0,0
0,0.000294788880858393,0.2682815950123393,1,0.0,0.0,0.0,2.06358135347889e-05,0.0,0.0002576578441860198,0,0
0,-7.452712439430142e-05,0.2682815950123393,1,0.0,0.0,0.0,0.0004212921932037422,0.0,4.831084578487871e-05,0,0
0,-7.452712439430142e-05,0.2682815950123393,1,0.0,0.0,0.0,0.0004212921932037422,0.0,4.60103293189321e-05,0,0
0,-7.452712439430142e-05,0.2682815950123393,1,0.0,0.0,0.0,0.0004212921932037422,0.0,-0.0001219273726951701,0,0
